tweet_id,content,author
Sat Feb 24 12:54:38 +0000 2024,@kompascom ada margin yang cukup jauh antara perolehan suara paslon nomor urut 2 Prabowo-Gibran dengan paslon yang lainnya. Ya disituâ˜ï¸lah letak kecurigaan adanya kecurangan ditambah Sirekapnya KPU yg ngaco.,arief_indriadi
Sat Feb 24 12:54:34 +0000 2024,"@Dennysiregar7 Bodoh amat, gak urus dengan beras mau naik kah.. mau turun kah.. Prabowo-Gibran presiden dan wakil presiden 2024-2029.",SINARSIH17
Sat Feb 24 12:54:11 +0000 2024,@_andoenk_ @entityprofanity @catmagray @LiatAjaX Coba aja sumpah serapahin Prabowo Gibran supaya kena ain. Gue bayar bang kalo bisa.,HGangsal
Sat Feb 24 12:53:59 +0000 2024,"Terbukti menangkan pilpres 2 kali, pengamat nilai peran Demokrat menangkan Prabowo-Gibran sangat vital.. elg  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/P5V2xgvGOK",alvin1495424
Sat Feb 24 12:53:53 +0000 2024,@H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Tasik Malaya loh ini @jokowi @gibran_tweet @kaesangb  Ngerti ga kalian?,gilang_ahm31272
Sat Feb 24 12:53:43 +0000 2024,"All out menangkan Prabowoâ€“Gibran, AHY: Kita wujudkan kesejahteraan rakyat.. olv  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/maAF5TTYkQ",alvin1495424
Sat Feb 24 12:51:40 +0000 2024,Lonjakan Harga Beras: Akibat Nafsu Menang Satu Putaran  KEMENANGAN versi hitung cepat calon presiden dan wakil presiden Prabowo Subianto-Gibran Rakabuming Raka dalam pemilihan presiden 2024 pada 14 Februari lalu dibayar tunai dengan rekor baru harga beras. Lima hari setelahâ€¦ https://t.co/ZIiMqss0Ht,Aryprasetyo85
Sat Feb 24 12:51:14 +0000 2024,"Program Susu Gratis"" andalan Prabowo Gibran mampukah terealisasi ?? https://t.co/SyZjTriMz2""",Bams_4GP
Sat Feb 24 12:50:51 +0000 2024,"@H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Itu kan menurut anda, menurut lembaga resmi anda itu kalah,..terimah sj atuh,..",ParapatAri76905
Sat Feb 24 12:50:03 +0000 2024,"TAHU DIRI  LAH ,MUNGKIN PEMILU  AKAN TENANG  KALAU  GIBRAN TIDAK  IKUT NYALON .JOKOPKIâš’ï¸ PAKAI  MAU  JEBAK PRABOWO  LAGI. JAHATðŸ‘ˆðŸ¼ðŸ‘‰ðŸ½LU JOKOðŸ‘‰ðŸ½SUDAH DUA KALI  PRABOWO  LU  KERJA IN ! KOK SEKARANG KAU  BERAKIN LAGI ?ðŸ¥º ! Lihat video ðŸ¹Panah_Asmara! #TikTok https://t.co/kQYLUtgr5V",fransis74201222
Sat Feb 24 12:48:47 +0000 2024,"Selamat, anda Presiden Indonesia selanjutnya"" - Wakil PM sekaligus Menteri Pertahanan Australia Richard Marles MP menemui Prabowo Subianto di Jakarta.  #prabowogibran #indonesiamaju #menangsatuputaran #wakilpm #australia  #rkb #rumahkeluargabersama https://t.co/rCHBA6L92T""",rkbfor08
Sat Feb 24 12:46:53 +0000 2024,"@Dennysiregar7 Jogetin aja... pengajuan hak angket DPR, hanyalah bentuk ketidakpuasan dengan kekalahan telak di pemilu. Begitulah kalau kalau tidak punya jiwa kesatria. Intinya, Prabowo-Gibran yang pilih rakyat langsung, 100x pun di ulang pemilu tetap Pra",SINARSIH17
Sat Feb 24 12:46:14 +0000 2024,AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. `_u  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/rau9c0opfH,alvin1495424
Sat Feb 24 12:44:58 +0000 2024,@a_arsa @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Lah menang kalah itu biasa. Siapa yg menang siapa yg kalah? Belum apa2 ko sudah pede sekali ðŸ˜ Bila kecurangan di depan mata dianggap wajar sebena,LingkaranHidup
Sat Feb 24 12:44:58 +0000 2024,@HeryIdris5 @TeddGus @ganjarpranowo Kamu yakin gak kalau Pak Fadli Zon bakal jadi Menteri jika Prabowo Gibran dilantik?,Jarwo99661180
Sat Feb 24 12:44:45 +0000 2024,"Slogannya TUANKU YA RAKYAT Tapi pas 59% rakyat pilih Prabowo Gibran Eh,, Tidak Terima.   Ente kadang-kadang. https://t.co/lHHJEGJG6f",Dulure_Gibran
Sat Feb 24 12:44:37 +0000 2024,SBY dan AHY kompak ajak masyarakat Banyuwangi pilih Prabowo-Gibran. apu  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/xbGvhq7AJC,alvin1495424
Sat Feb 24 12:44:25 +0000 2024,"@jek___ Kasih tau bang kalo 2019 yg menang pilpres jokowi, prabowo jd menhan trus 2024 nyalon sama gibran. Orang 2019 pasti kaget",inidina28
Sat Feb 24 12:44:02 +0000 2024,"Terlihat dengan setia pak SBY, presiden ke 6 Indonesia di atas panggung bersama dengan mas AHY juga mendukung Prabowo Gibran.. gph  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/79DrS7qxUb",alvin1495424
Sat Feb 24 12:43:58 +0000 2024,Bapak SBY dan Mas AHY pun duduk diatas panggung ikut serta mendukung Prabowo Gibran. ojt  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/CHSWShmJvP,alvin1495424
Sat Feb 24 12:43:53 +0000 2024,"Menutup masa kampanye, @PDemokrat hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran.. ezf  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/WVISxXuiDL",alvin1495424
Sat Feb 24 12:43:44 +0000 2024,"Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menilai tidak ada urgensi anggota DPR menggunakan hak angket untuk menyelidiki kecurangan pemilu.  Menurut AHY, ada margin yang cukup jauh antara perolehan suara paslon nomor urut 2 Prabowo-Gibran dengan paslon yangâ€¦ https://t.co/mGKYIHRISZ",kompascom
Sat Feb 24 12:43:08 +0000 2024,Prabowo-Gibran Unggul di 5 TPS Jakut yang Gelar Pencoblosan Lanjutan https://t.co/FYnWHH7HCP,abumansyur379
Sat Feb 24 12:42:53 +0000 2024,"Data C1 KawalPemilu 2024 Lebih Banyak dari KPU, di DKI Jakarta AMIN Ungguli Prabowo-Gibran https://t.co/neyrXFYxaF via @suaraislamID_",suaraislamID_
Sat Feb 24 12:41:00 +0000 2024,Sederet Pemimpin Negerasa yang mulai mengucapkan selamat kepada pasangan Prabowo-Gibran serta lancarnya pemilu di Tahun 2024 ini  Gibran Berani Beijing Maryam Guangzhou ChatGPT https://t.co/roqBlMeccV,megan_sar
Sat Feb 24 12:40:20 +0000 2024,@rabudi2000 @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd seluruh tps di tempatq 02 yang menang,yustisuryaning1
Sat Feb 24 12:39:15 +0000 2024,@TegoTagor @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd sama aja bang disini kunu anis juga bagi bagi fulus tp sayang seluruh tps dimenangkan 02,yustisuryaning1
Sat Feb 24 12:38:38 +0000 2024,"@timpenguinnas Niii pan, dia relawan rela mati buat prabowo gibran @slytherwine",mpepbrow
Sat Feb 24 12:38:07 +0000 2024,"@ferrykoto Ane pendukung 02 malah setuju kalau ada hak angket dan kita semua jadi nyoblos ulang. Mana tau bisa merubah kemenangan PDIP menjadi dibawah 10%, dan prabowo - gibran naik jafi 70%, syukur2 klo psi jadi 4,0001%ðŸ˜, pekaes jd partai nol koma ðŸ˜",dimasip
Sat Feb 24 12:37:20 +0000 2024,Perhitungan suara KPU Masi blm final.koq beraninya Prabowo Gibran dan Insinyur Jokowidodo berijazah  Palsu menyusun Kabinet.Oh sontoloyo.,MocangTian
Sat Feb 24 12:36:32 +0000 2024,@PatubMbel @gibran_tweet pantes prabowo menang oke gas pret,grmpyme
Sat Feb 24 12:36:19 +0000 2024,@H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd diiyain aja biar senengðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,dodiarisby
Sat Feb 24 12:35:58 +0000 2024,@H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Jangan bawa bawa nama rakyat bisa ga si..,deetravolta
Sat Feb 24 12:34:10 +0000 2024,@cakimiNOW Tanya Cak! Jadi makzulkan @jokowi pakai angket apa tidak? Tolong juga agar @prabowo @gibran_tweet didiskualifikasi sekalian! Agar pemenang 2 bisa naik menggantikan pemenang 1.  Sekali mendayung 2 pulau terlampaui!,gusmus_md
Sat Feb 24 12:32:44 +0000 2024,"@H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd koen gateli , suarae ganjar jd 11%",RIRsyada
Sat Feb 24 12:32:37 +0000 2024,"Laila dan Pasha, Dua Makhluk Saksi Pembicaraan Prabowo dan Gibran https://t.co/Ji2enPG5RK",tvOneNews
